EOI,NumDHT,NumDQT,NumMarkers,%,DHT(FFC4),DQT FFDB,APP1(FFE0),APP12(FFEF),COM(FFFE),Label
1,4,2,11,10,86,69,18,0,0,0
1,4,1,11,6.9,183,134,18,0,30,0
1,2,2,24,2.6,420,134,856,0,0,0
1,2,1,9,50.9,88,69,18,0,56,0
1,3,3,37,7.5,321,134,710,0,0,0
1,4,2,11,32.4,97,69,18,0,0,0
1,1,1,7,5,282,134,53,0,0,0
1,2,1,8,23.5,183,69,18,0,0,0
1,4,2,11,10.8,183,69,18,0,0,0
1,1,1,7,17.5,178,134,53,0,0,0
1,4,2,11,13.7,91,69,18,0,0,0
1,4,2,12,12.6,74,69,2931,0,0,0
1,4,1,11,7.8,183,134,18,0,30,0
1,4,2,11,11.1,183,69,18,0,0,0
1,4,2,11,10.1,54,69,18,0,0,0
1,3,3,35,1.9,321,153,828,0,202,0
1,3,3,34,6.7,321,134,322,0,0,0
1,4,1,11,7.5,183,134,18,0,30,0
1,4,2,11,13.4,183,69,18,0,0,0
1,4,2,11,17.8,70,69,18,0,0,0
1,4,2,11,8.7,83,69,18,0,0,0
1,4,2,12,10.7,183,69,18,0,61,0
1,2,1,8,18.9,183,134,18,0,0,0
1,4,2,11,15.2,82,69,18,0,0,0
1,4,2,11,15.3,79,69,18,0,0,0
1,10,2,25,6.1,70,88,18,0,0,0
1,4,2,11,28.1,183,69,18,0,0,0
1,4,1,11,4.6,183,134,18,0,30,0
1,5,3,20,4.9,321,134,560,0,0,0
1,2,2,58,14.1,420,134,858,0,0,0
1,1,1,8,6.5,420,134,18,0,14,0
1,4,2,11,21.4,183,69,18,0,0,0
1,5,3,22,6,321,134,18,0,4282,0
1,4,2,11,14.7,51,69,18,0,0,0
1,1,1,7,13.4,175,134,53,0,0,0
1,5,1,16,59,78,82,18,0,60,0
1,1,1,8,10.9,185,134,2950,0,0,0
1,4,2,11,9.2,183,69,18,0,0,0
1,4,2,11,12.3,63,69,18,0,0,0
1,4,2,11,14.7,78,69,18,0,0,0
1,4,1,11,7.9,183,134,18,0,30,0
1,1,1,7,4.4,174,134,53,0,0,0
1,4,2,11,11.3,183,69,18,0,0,0
1,2,2,27,6.1,420,134,428,0,0,0
1,4,1,11,6.5,183,134,18,0,30,0
1,4,2,11,12.3,68,69,18,0,0,0
1,1,1,17,11.6,420,134,344,0,0,0
1,1,1,8,10.1,196,134,2950,0,0,0
1,5,3,21,5,321,134,48,0,29266,0
1,4,1,11,7.4,183,134,18,0,30,0
1,4,2,12,12,83,69,2931,0,0,0
1,1,1,17,8,420,134,344,0,0,0
1,2,1,9,55.3,83,69,18,0,56,0
1,1,1,7,5.6,195,134,53,0,0,0
1,4,2,12,6.3,106,69,18,0,17,0
1,4,2,11,12.4,183,69,18,0,0,0
1,5,1,16,83.4,79,82,18,0,60,0
1,3,3,30,9.1,321,153,330,0,0,0
1,4,2,12,14.6,90,69,18,0,40,0
1,10,2,25,9.3,87,88,18,0,0,0
1,5,1,16,63.8,78,82,18,0,60,0
1,4,2,11,11,183,69,18,0,0,0
1,4,1,11,9,183,134,18,0,30,0
1,4,2,11,11.2,183,69,18,0,0,0
1,4,2,11,5.1,183,69,18,0,0,0
1,1,1,8,16.7,420,134,18,0,33,0
1,5,3,21,5,321,134,48,0,16692,0
1,3,3,35,4.4,321,134,1694,0,0,0
1,4,2,11,11,183,69,18,0,0,0
1,2,1,8,28.1,183,134,18,0,0,0
1,3,3,32,2.4,420,134,922,0,0,0
1,4,2,11,9.5,59,69,18,0,0,0
1,4,2,11,19.8,183,69,18,0,0,0
1,4,1,11,7,183,134,18,0,30,0
1,4,1,11,5.5,183,134,18,0,30,0
1,4,2,11,13.9,75,69,18,0,0,0
1,4,2,11,17.4,73,69,18,0,0,0
1,3,3,30,3.5,321,153,330,0,0,0
1,4,1,11,5.8,183,134,18,0,30,0
1,4,2,11,14.2,74,69,18,0,0,0
1,1,1,8,12.9,196,134,2950,0,0,0
1,4,2,11,21,88,69,18,0,0,0
1,1,1,7,3.7,232,134,53,0,0,0
1,1,1,7,9.3,153,134,53,0,0,0
1,4,1,11,5.4,183,134,18,0,30,0
1,1,1,15,12.4,255,153,72,0,0,0
1,4,2,11,11.2,183,69,18,0,0,0
1,2,2,57,20.8,321,134,64,0,57,0
1,4,2,11,10.3,55,69,18,0,0,0
1,1,1,15,9.9,275,153,72,0,0,0
1,4,2,11,20.8,89,69,18,0,0,0
1,2,2,12,10.7,420,199,0,0,0,0
1,4,2,11,15.5,183,69,18,0,0,0
1,4,2,11,26.5,89,69,18,0,0,0
1,4,2,11,18.1,183,69,18,0,0,0
1,1,1,7,9,187,134,53,0,0,0
1,4,2,11,16.9,183,69,18,0,0,0
1,3,3,64,2.8,420,134,1038,0,0,0
1,4,2,11,16.5,183,69,18,0,0,0
1,4,2,11,22,79,69,18,0,0,0
1,2,2,39,3.4,420,134,528,0,57,0
1,4,2,11,17,86,69,18,0,0,0
1,4,1,11,6,183,134,18,0,30,0
1,1,1,15,9.5,205,153,72,0,0,0
1,2,2,82,19.7,420,134,396,0,57,0
1,4,1,11,3.5,183,134,18,0,30,0
1,1,1,7,10.3,174,134,53,0,0,0
1,4,2,11,19.4,74,69,18,0,0,0
1,4,1,11,9.4,183,134,18,0,30,0
1,4,2,12,7.3,183,69,18,0,61,0
1,4,1,11,5.4,183,134,18,0,30,0
1,4,1,11,6.2,183,134,18,0,30,0
1,2,2,14,13.9,420,199,0,0,0,0
1,4,1,11,4.4,183,134,18,0,30,0
1,2,1,8,18.9,64,69,18,0,0,0
1,4,2,11,11.1,77,69,18,0,0,0
1,2,1,9,27.6,183,69,18,0,72,0
1,4,2,11,9.5,183,69,18,0,0,0
1,4,2,11,18.9,80,69,18,0,0,0
1,4,2,11,16.6,183,69,18,0,0,0
1,2,2,12,10.6,420,199,0,0,0,0
1,5,3,21,27,321,134,48,0,9195,0
1,1,1,19,5.3,256,153,111,0,0,0
1,5,3,19,23.4,420,134,18,0,14,0
1,4,1,11,4.8,183,134,18,0,30,0
1,4,2,11,12.4,69,69,18,0,0,0
1,4,2,11,13.2,82,69,18,0,0,0
1,4,2,11,20,183,69,18,0,0,0
1,1,1,11,10.6,321,134,476,0,0,0
1,5,3,23,24.8,321,134,48,0,2202,0
1,4,2,11,6.1,73,69,18,0,0,0
1,4,2,11,15.2,79,69,18,0,0,0
1,1,1,15,8.1,218,153,72,0,0,0
1,4,2,11,14.3,183,69,18,0,0,0
1,5,1,16,54.4,82,82,18,0,60,0
1,1,1,7,2.8,216,134,53,0,0,0
1,1,1,9,7.9,420,134,18,0,33,0
1,2,1,8,18.5,183,134,18,0,0,0
1,2,1,8,21.8,183,134,18,0,0,0
1,4,2,11,14.8,183,69,18,0,0,0
1,3,3,77,3.5,420,134,1066,0,0,0
1,1,1,8,11,188,134,2950,0,0,0
1,5,1,16,74.3,79,82,18,0,60,0
1,5,3,21,16.6,321,134,48,0,9195,0
1,1,1,8,8.6,187,134,2950,0,0,0
1,1,1,19,5.8,337,153,77,0,0,0
1,4,2,11,18.8,183,69,18,0,0,0
1,4,1,11,4.7,183,134,18,0,30,0
1,2,2,27,13.6,321,134,560,0,0,0
1,1,1,7,12.4,166,134,53,0,0,0
1,5,3,20,3.1,321,134,560,0,0,0
1,2,1,8,21.4,183,134,18,0,0,0
1,5,1,16,64.2,77,82,18,0,60,0
1,3,3,35,4.6,321,134,1726,0,0,0
1,1,1,7,6.6,175,134,53,0,0,0
1,3,3,31,1.9,420,134,330,0,0,0
1,4,2,11,10.6,55,69,18,0,0,0
1,4,2,11,23.5,101,69,18,0,0,0
1,4,2,11,28.8,183,69,18,0,0,0
1,3,3,34,2.2,321,153,418,0,0,0
1,2,2,82,19.1,420,134,396,0,57,0
1,4,2,11,17.6,183,69,18,0,0,0
1,5,3,22,5,321,134,34,0,8023,0
1,4,2,11,9.2,80,69,18,0,0,0
1,10,2,25,6.6,64,88,18,0,0,0
1,4,2,11,18,84,69,18,0,0,0
1,5,1,16,78.9,82,82,18,0,60,0
1,4,2,11,21.3,183,69,18,0,0,0
1,1,1,7,5.8,236,134,53,0,0,0
1,3,3,33,3.1,420,134,322,0,0,0
1,4,2,11,19.4,72,69,18,0,0,0
1,2,1,8,24.7,183,134,18,0,0,0
1,4,2,11,14.7,183,69,18,0,0,0
1,4,2,11,12.6,183,69,18,0,0,0
1,2,1,8,15.8,66,69,18,0,0,0
1,4,1,10,1.5,183,134,18,0,0,0
1,2,1,8,17.5,183,134,18,0,0,0
1,2,1,8,23.9,183,134,18,0,0,0
1,4,2,11,16.5,76,69,18,0,0,0
1,4,2,11,9.1,88,69,18,0,0,0
1,4,2,11,26.7,83,69,18,0,0,0
1,1,1,7,10.1,152,134,53,0,0,0
1,4,2,11,21.1,86,69,18,0,0,0
1,5,3,24,33.1,321,134,48,0,190,0
1,4,1,11,4.9,183,134,18,0,30,0
1,4,2,11,15.7,52,69,18,0,0,0
1,5,1,16,61.5,77,82,18,0,60,0
1,2,2,31,7.3,420,134,714,0,0,0
1,4,2,11,15.8,76,69,18,0,0,0
1,2,2,29,7.9,420,134,880,0,0,0
1,4,1,11,4.8,183,134,18,0,30,0
1,3,3,40,3.2,420,134,1098,0,0,0
1,1,1,7,7.5,129,134,53,0,0,0
1,4,2,11,14,76,69,18,0,0,0
1,1,1,7,18,176,134,53,0,0,0
1,3,3,30,6.8,321,153,322,0,0,0
1,4,2,11,56.4,78,69,18,0,0,0
1,4,2,11,17.5,89,69,18,0,0,0
1,5,3,24,21.9,321,134,48,0,190,0
1,3,3,44,9.1,420,134,322,0,4726,0
1,4,1,11,4.6,183,134,18,0,30,0
1,4,2,11,11.5,183,69,18,0,0,0
1,3,3,37,4.8,420,134,330,0,0,0
1,5,1,16,65.1,76,82,18,0,60,0
1,4,1,11,3.7,183,134,18,0,30,0
1,2,1,8,22.1,183,134,18,0,0,0
1,2,1,8,20,183,134,18,0,0,0
1,4,2,11,21.8,78,69,18,0,0,0
1,5,3,21,2.3,321,134,2931,0,0,0
1,4,2,11,7.5,95,69,18,0,0,0
1,4,1,11,6.7,183,134,18,0,30,0
1,4,2,11,11.1,183,69,18,0,0,0
1,1,1,8,9,420,134,18,0,14,0
1,5,3,21,15.2,321,134,48,0,9195,0
1,4,2,11,28.2,183,69,18,0,0,0
1,1,1,7,7.3,175,134,69,0,0,0
1,2,1,8,20.2,183,134,18,0,0,0
1,2,2,43,5.5,420,134,560,0,56,0
1,4,2,11,20.1,68,69,18,0,0,0
1,4,2,11,19.3,183,69,18,0,0,0
1,2,2,27,12.2,321,134,560,0,0,0
1,1,1,7,14.6,198,134,53,0,0,0
1,1,1,7,16.8,420,134,18,0,0,0
1,4,2,11,21.7,72,69,18,0,0,0
1,3,3,37,6.3,321,134,710,0,0,0
1,2,1,9,50,91,69,18,0,56,0
1,1,1,7,13.3,153,134,53,0,0,0
1,1,1,7,12.3,198,134,53,0,0,0
1,4,2,11,18.3,78,69,18,0,0,0
1,4,2,11,15.3,58,69,18,0,0,0
1,1,1,7,2.7,274,134,53,0,0,0
1,4,2,11,12.2,183,69,18,0,0,0
1,1,1,9,11.9,420,134,18,0,33,0
1,2,1,8,25.5,183,134,18,0,0,0
1,4,2,11,8,70,69,18,0,0,0
1,4,2,11,11.4,183,69,18,0,0,0
1,5,3,22,4,321,134,18,0,1259,0
1,1,1,7,13.2,198,134,53,0,0,0
1,4,1,11,7.8,183,134,18,0,30,0
1,4,2,11,8.1,72,69,18,0,0,0
1,2,1,8,19.3,183,134,18,0,0,0
1,4,2,11,15,83,69,18,0,0,0
1,2,2,22,2.1,420,134,560,0,56,0
1,4,2,12,2.2,114,69,18,0,57,0
1,4,2,11,4.8,183,69,18,0,0,0
1,2,2,12,14.9,420,199,0,0,0,0
1,3,3,37,7,321,134,710,0,0,0
1,4,2,11,14.5,86,69,18,0,0,0
1,4,1,11,5.2,183,134,18,0,30,0
1,5,1,16,51.4,80,82,18,0,60,0
1,4,2,11,15.5,86,69,18,0,0,0
1,4,1,11,3.9,183,134,18,0,30,0
1,1,1,19,4.7,232,153,77,0,0,0
1,4,1,11,5.7,183,134,18,0,30,0
1,5,1,16,80.6,81,82,18,0,60,0
1,4,2,11,12.7,75,69,18,0,0,0
1,4,2,11,10.4,183,69,18,0,0,0
1,1,1,8,19.9,420,134,18,0,4,0
1,4,1,11,3.5,183,134,18,0,30,0
1,1,1,19,6.2,235,153,77,0,0,0
1,1,1,7,6.9,252,134,53,0,0,0
1,2,1,8,17.3,61,69,18,0,0,0
1,1,1,15,32.3,205,153,72,0,0,0
1,2,1,8,20.2,183,134,18,0,0,0
1,2,2,49,11,420,134,560,0,56,0
1,4,1,11,6.3,183,134,18,0,30,0
1,1,1,7,3.9,175,134,53,0,0,0
1,1,1,7,4.4,173,134,53,0,0,0
1,1,1,9,10.7,420,134,18,0,33,0
1,4,2,12,23,87,69,18,0,52,0
1,2,2,37,5.7,420,134,950,0,0,0
1,3,3,69,2.4,321,134,346,0,0,0
1,4,2,11,23,183,69,18,0,0,0
1,1,1,8,13.8,420,134,18,0,33,0
1,4,2,12,6.3,106,69,18,0,17,0
1,1,1,7,17.2,210,134,53,0,0,0
1,4,2,12,13.7,79,69,2931,0,0,0
1,4,1,11,8.9,183,134,18,0,30,0
1,4,1,11,6.3,183,134,18,0,30,0
1,4,2,11,13,53,69,18,0,0,0
1,4,2,12,4.9,97,69,18,0,17,0
1,4,2,11,3.4,183,69,18,0,0,0
1,4,2,11,10.7,74,69,18,0,0,0
1,4,2,11,13.2,183,69,18,0,0,0
1,4,2,11,10,183,69,18,0,0,0
1,4,2,11,9.6,183,69,54,0,0,0
1,2,1,8,18.4,62,69,18,0,0,0
1,3,3,48,1.9,321,134,834,0,0,0
1,4,2,11,12,183,69,18,0,0,0
1,10,2,25,9.5,72,88,18,0,0,0
1,1,1,8,11.2,420,134,18,0,33,0
1,5,3,21,3.7,321,134,48,0,14312,0
1,4,2,11,16.4,73,69,18,0,0,0
1,4,2,11,15.6,183,69,18,0,0,0
1,1,1,8,18.4,420,134,18,0,4,0
1,4,2,11,14.5,49,69,18,0,0,0
1,1,1,19,10.4,223,153,93,0,0,0
1,4,2,11,23,76,69,18,0,0,0
1,4,2,11,13.1,91,69,18,0,0,0
1,5,3,21,2.5,321,134,2931,0,0,0
1,4,2,11,16.5,183,69,18,0,0,0
1,4,1,11,9,183,134,18,0,30,0
1,4,2,11,7.4,79,69,18,0,0,0
1,4,2,11,3.7,77,69,18,0,0,0
1,4,2,13,13.8,80,69,2931,0,0,0
1,4,2,11,12.1,183,69,18,0,0,0
1,2,1,8,19.8,183,134,18,0,0,0
1,4,1,11,3.6,183,134,18,0,30,0
1,4,2,11,8.6,87,69,18,0,0,0
1,2,2,42,15.3,420,134,396,0,57,0
1,2,1,8,4.6,69,69,18,0,0,0
1,1,1,15,9.8,261,153,642,0,0,0
1,2,1,8,18.1,183,134,18,0,0,0
1,5,3,22,2.4,420,134,957,0,0,0
1,4,1,11,9.9,183,134,18,0,30,0
1,2,2,29,4.7,420,134,606,0,0,0
1,3,3,30,1.4,420,134,330,0,0,0
1,4,2,11,21.3,83,69,18,0,0,0
1,4,2,11,10.3,87,69,18,0,0,0
1,1,1,7,4.7,183,134,53,0,0,0
1,4,2,12,25.7,64,69,2931,0,0,0
1,5,1,16,56.8,78,82,18,0,60,0
1,10,2,25,4.7,95,88,18,0,0,0
1,4,2,12,9.2,183,69,18,0,61,0
1,4,2,11,145.5,61,69,18,0,0,0
1,4,2,12,5,92,69,18,0,17,0
1,4,2,12,6.2,103,69,18,0,17,0
1,2,2,27,12.6,321,134,560,0,0,0
1,4,2,11,13.6,183,69,18,0,0,0
1,4,2,11,12.9,81,69,18,0,0,0
1,4,2,12,6.3,104,69,18,0,17,0
1,2,1,8,8.6,183,69,18,0,0,0
1,4,2,12,3.1,183,69,18,0,91,0
1,2,2,34,16.9,321,134,390,0,57,0
1,2,1,8,22.6,183,134,18,0,0,0
1,4,2,11,11.9,54,69,18,0,0,0
1,2,2,47,14.8,321,134,64,0,57,0
1,1,1,19,5.4,254,153,77,0,0,0
1,4,2,11,13,183,69,18,0,0,0
1,4,2,11,10,79,69,18,0,0,0
1,3,3,62,30.9,321,134,1714,0,0,0
1,5,1,16,86,75,82,18,0,60,0
1,5,3,21,14.7,321,134,48,0,9233,0
1,4,2,12,16.1,83,69,2931,0,0,0
1,4,2,11,188.7,68,69,18,0,0,0
1,2,2,100,3.4,420,134,564,0,57,0
1,4,1,11,3.5,183,134,18,0,30,0
1,5,3,21,3,321,134,2931,0,0,0
1,4,2,11,32.2,61,69,18,0,0,0
1,4,2,12,5,90,69,18,0,17,0
1,4,2,11,10.4,84,69,18,0,0,0
1,4,2,11,13,87,69,18,0,0,0
1,4,2,11,15.7,183,69,18,0,0,0
1,2,1,8,23.7,183,69,18,0,0,0
1,3,3,41,6.7,420,134,322,0,0,0
1,1,1,8,10.6,420,134,18,0,48,0
1,4,2,12,7.6,183,69,18,0,61,0
1,1,1,19,7.2,243,153,77,0,0,0
1,5,1,16,86.4,75,82,18,0,60,0
1,4,2,11,21.1,183,69,18,0,0,0
1,4,2,11,14.7,183,69,18,0,0,0
1,4,2,11,19.9,71,69,18,0,0,0
1,4,2,11,17.1,73,69,18,0,0,0
1,4,2,11,40.8,77,69,18,0,0,0
1,4,1,11,4.1,183,134,18,0,30,0
1,2,2,20,7.4,321,134,560,0,0,0
1,2,1,8,19.9,183,134,18,0,0,0
1,2,1,8,33.4,183,69,18,0,0,0
1,1,1,7,14.9,189,134,53,0,0,0
1,4,2,11,13.6,183,69,18,0,0,0
1,2,2,44,6.6,321,134,602,0,0,0
1,4,2,11,27.8,183,69,18,0,0,0
1,2,1,8,22.3,183,69,18,0,0,0
1,4,2,11,22.4,183,69,18,0,0,0
1,1,1,7,8.3,191,134,53,0,0,0
1,4,2,11,15.1,183,69,18,0,0,0
1,4,2,11,16.1,74,69,18,0,0,0
1,4,2,11,8.5,183,69,1960,0,0,0
1,1,1,8,15.8,420,134,18,0,33,0
1,4,1,11,10.1,183,134,18,0,30,0
1,5,1,16,80.2,84,82,18,0,60,0
1,2,1,8,20.2,183,134,18,0,0,0
1,4,2,13,13.3,84,69,18,0,2953,0
1,4,2,12,11.1,183,69,18,0,61,0
1,4,2,11,16.1,82,69,18,0,0,0
1,4,2,11,19.6,66,69,18,0,0,0
1,2,1,8,22.1,183,134,18,0,0,0
1,2,2,31,10.4,321,134,560,0,0,0
1,4,1,11,7.2,183,134,18,0,30,0
1,4,2,11,17.7,77,69,18,0,0,0
1,4,2,12,10.9,183,69,18,0,61,0
1,4,2,11,16.4,92,69,18,0,0,0
1,3,3,30,6.3,321,153,322,0,0,0
1,5,3,23,4.8,321,134,18,0,6538,0
1,1,1,7,8,134,134,53,0,0,0
1,2,1,8,19.7,183,134,18,0,0,0
1,4,2,11,14.6,53,69,18,0,0,0
1,2,1,8,16.5,183,134,18,0,0,0
1,10,2,25,8.1,72,88,18,0,0,0
1,4,2,12,20,99,69,18,0,52,0
1,4,2,11,19.6,96,69,18,0,0,0
1,4,2,11,22.2,183,69,18,0,0,0
1,1,1,7,6.2,184,134,195,0,0,0
1,4,1,10,3.3,183,134,18,0,0,0
1,1,1,7,20.6,150,134,53,0,0,0
1,2,1,8,33.5,183,134,18,0,0,0
1,4,2,11,21.5,183,69,18,0,0,0
1,2,1,9,14.9,183,69,18,0,72,0
1,3,3,37,8.9,321,134,710,0,0,0
1,1,1,7,16.2,166,134,53,0,0,0
1,5,1,16,87.2,76,82,18,0,60,0
1,4,1,11,7.8,183,134,18,0,30,0
1,1,1,7,6.4,178,134,53,0,0,0
1,3,3,28,5.1,420,153,2293,0,0,0
1,5,3,20,5.3,321,134,560,0,0,0
1,4,2,11,14,183,69,18,0,0,0
1,3,3,40,4.8,420,134,778,0,0,0
1,4,2,11,12.4,87,69,18,0,0,0
1,4,2,11,10.2,81,69,18,0,0,0
1,4,2,11,9.8,83,69,18,0,0,0
1,4,2,11,17.7,183,69,18,0,0,0
1,4,2,11,14.5,183,69,18,0,0,0
1,1,1,7,18.9,170,134,53,0,0,0
1,4,2,11,3.2,183,69,18,0,0,0
1,4,2,11,24,183,69,18,0,0,0
1,4,2,11,8.7,62,69,18,0,0,0
1,4,2,11,14.5,183,69,18,0,0,0
1,4,1,11,3.4,183,134,18,0,30,0
1,4,2,11,13.5,94,69,18,0,0,0
1,4,2,12,3.8,109,69,18,0,168,0
1,5,1,16,86.4,73,82,18,0,60,0
1,5,3,20,3.8,321,134,560,0,0,0
1,2,1,8,19.1,183,134,18,0,0,0
1,1,1,7,7.1,420,134,53,0,0,0
1,4,1,11,6.8,183,134,18,0,30,0
1,5,1,16,82.4,80,82,18,0,60,0
1,1,1,16,6.7,420,134,344,0,0,0
1,4,1,11,9.4,183,134,18,0,30,0
1,4,2,11,4.3,82,69,18,0,0,0
1,4,2,14,9.1,183,69,449,0,0,0
1,2,1,8,15.4,61,69,18,0,0,0
1,4,2,11,13.2,73,69,18,0,0,0
1,1,1,7,7.9,173,134,53,0,0,0
1,4,2,11,15.1,75,69,18,0,0,0
1,5,3,24,22,321,134,48,0,190,0
1,4,2,11,16.7,183,69,18,0,0,0
1,4,2,11,12.7,183,69,18,0,0,0
1,2,2,41,61.8,321,134,64,0,57,0
1,4,1,11,9.6,183,134,18,0,30,0
1,2,2,69,13.1,420,134,428,0,56,0
1,4,2,11,10.9,57,69,18,0,0,0
1,4,1,10,3.4,183,134,18,0,0,0
1,1,1,19,4.8,234,153,77,0,0,0
1,4,2,11,20.1,102,69,18,0,0,0
1,4,2,11,8.3,183,69,18,0,0,0
1,4,2,11,14.8,81,69,18,0,0,0
1,1,1,8,15.7,420,134,18,0,33,0
1,1,1,61,11.7,420,134,510,0,0,0
1,4,2,11,12.1,183,69,18,0,0,0
1,4,2,12,16.3,183,69,18,0,72,0
1,1,1,61,10.8,420,134,510,0,0,0
1,3,3,37,8.2,321,134,710,0,0,0
1,4,1,11,4.5,183,134,18,0,30,0
1,1,1,7,10.1,420,134,53,0,0,0
1,4,2,11,15.6,70,69,18,0,0,0
1,4,2,12,13.2,83,69,2931,0,0,0
1,4,2,11,12.3,73,69,18,0,0,0
1,2,1,8,18.9,183,134,18,0,0,0
1,2,2,15,7,420,134,18,0,14,0
1,2,2,35,34.1,321,134,64,0,57,0
1,1,1,7,4.1,175,134,53,0,0,0
1,2,1,8,18,183,134,18,0,0,0
1,3,3,30,3.8,420,134,806,0,0,0
1,4,2,11,28.1,81,69,18,0,0,0
1,4,2,11,32.8,183,69,18,0,0,0
1,4,2,11,19.1,83,69,18,0,0,0
1,4,2,12,18,59,69,18,0,48,0
1,4,2,11,8.7,75,69,18,0,0,0
1,4,2,11,10.9,183,69,18,0,0,0
1,4,2,11,16.4,51,69,18,0,0,0
1,2,1,8,23.2,183,134,18,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,4,2,11,12.7,183,69,18,0,0,0
1,4,2,11,17.8,183,69,18,0,0,0
1,4,2,11,17.7,183,69,18,0,0,0
1,4,2,12,15.1,82,69,2931,0,0,0
1,4,2,12,6.2,109,69,18,0,17,0
1,2,2,47,27.3,321,134,64,0,57,0
1,5,1,16,53,80,82,18,0,60,0
1,1,1,7,7.8,171,134,53,0,0,0
1,2,2,31,8.3,420,134,560,0,56,0
1,4,1,11,5,183,134,18,0,30,0
1,10,2,25,4.7,88,88,18,0,0,0
1,2,2,29,16.1,420,134,428,0,0,0
1,2,1,8,35.6,183,69,18,0,0,0
1,4,2,11,13,183,69,18,0,0,0
1,4,2,11,15.7,183,69,18,0,0,0
1,5,3,24,20.1,321,134,48,0,190,0
1,1,1,6,13.3,142,134,0,0,0,0
1,4,2,11,16.3,183,69,18,0,0,0
1,4,2,11,33,62,69,18,0,0,0
1,2,1,8,14.2,183,69,18,0,0,0
1,4,2,11,15.4,183,69,18,0,0,0
1,4,1,10,1.5,183,134,18,0,0,0
1,4,2,11,8.9,183,69,18,0,0,0
1,5,3,23,18.6,321,134,48,0,2204,0
1,2,2,35,7.9,420,134,428,0,0,0
1,5,3,24,22,321,134,48,0,190,0
1,2,1,8,25,74,69,18,0,0,0
1,3,3,71,10.7,420,199,1372,0,0,0
1,4,1,11,8.9,183,134,18,0,30,0
1,3,3,34,1.9,420,134,1022,0,0,0
1,4,2,11,12.3,75,69,18,0,0,0
1,4,2,11,12.2,183,69,18,0,0,0
1,2,2,23,21.4,420,134,396,0,57,0
1,1,1,8,7.3,420,134,18,0,14,0
1,2,2,31,5.8,420,134,560,0,56,0
1,3,3,36,4.6,420,134,330,0,0,0
1,3,3,52,5.5,420,134,330,0,0,0
1,10,2,25,12.5,74,88,18,0,0,0
1,4,1,11,4.6,183,134,18,0,30,0
1,4,2,11,12.2,183,69,18,0,0,0
1,4,2,11,7.8,183,69,18,0,0,0
1,5,3,23,22,321,134,48,0,2204,0
1,3,3,35,5,321,134,1634,0,0,0
1,5,1,16,82.3,76,82,18,0,60,0
1,4,1,11,6,183,134,18,0,30,0
