Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Make of file,Model of file,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,4,2,11,4.4,0,0,61,69,940,0,0,1
1,4,1,11,4.2,0,0,183,134,18,0,30,0
0,10,2,26,3.3,0,0,42,88,489,0,0,1
1,4,2,11,15,0,0,82,69,18,0,0,0
1,1,1,7,12.7,0,0,189,134,53,0,0,0
1,2,1,9,27.3,0,0,183,69,18,0,72,0
1,4,2,11,36,0,0,59,69,116,0,0,1
0,0,0,2,1063.4,0,0,0,0,0,0,0,1
1,2,2,25,3.8,0,0,420,134,606,0,0,0
0,4,2,11,6.9,0,0,66,69,68,0,0,1
1,5,1,16,78.9,0,0,82,82,18,0,60,0
1,5,1,16,75.6,0,0,82,82,18,0,60,0
1,4,1,10,5.1,0,0,65,134,1551,0,0,1
1,4,2,12,5.2,1,1,0,183,69,3022,0,1
1,11,2,26,9.5,0,0,52,88,718,0,0,1
1,3,3,35,4.4,2,2,321,134,1694,0,0,0
1,4,2,12,19.1,0,0,183,69,18,0,61,1
1,4,1,12,13.9,0,0,96,134,3041,0,0,1
1,4,2,11,12.3,0,0,68,69,18,0,0,0
1,3,3,38,5.3,0,0,420,134,330,0,0,0
1,4,2,11,12.5,0,0,183,69,18,0,0,0
1,4,2,11,8.6,0,0,87,69,18,0,0,0
1,10,2,25,6.6,0,0,64,88,18,0,0,0
0,3,3,39,2.4,0,0,420,134,322,0,0,1
1,5,1,16,51.5,0,0,82,82,18,0,60,0
1,4,2,11,13.9,0,0,79,69,18,0,0,0
1,4,1,11,3.7,0,0,183,134,18,0,30,0
1,9,5,30,13.9,1,1,0,321,134,1038,0,1
0,3,3,41,5.1,0,0,420,134,438,0,0,1
1,5,1,16,83,0,0,76,82,18,0,60,0
1,3,3,34,5.5,0,0,420,134,330,0,0,1
1,4,2,11,14,0,0,83,69,18,0,0,0
0,1,1,6,2,0,0,177,134,0,0,0,1
1,4,2,11,11.4,0,0,183,69,18,0,0,0
1,4,1,11,7.4,0,0,183,134,18,0,30,0
1,1,1,7,6.2,0,0,184,134,195,0,0,0
1,2,1,8,22.4,0,0,183,134,18,0,0,0
1,4,2,12,25.7,0,0,64,69,2931,0,0,0
1,4,2,11,17.7,0,0,183,69,18,0,0,0
1,4,2,11,18,0,0,86,69,18,0,0,0
1,5,3,24,28.5,0,0,321,134,48,0,190,0
1,4,1,11,4.8,0,0,183,134,18,0,30,0
1,1,1,24,7.4,0,0,227,134,1098,0,56,0
1,4,2,11,10.6,0,0,55,69,18,0,0,0
1,1,1,7,3.3,0,0,208,134,53,0,0,0
0,4,2,12,26.9,0,0,183,69,18,0,64,1
1,4,1,10,32.8,0,0,73,134,392,0,0,1
1,4,2,11,6.4,0,0,183,69,18,0,0,1
1,1,1,7,16.3,0,0,208,134,53,0,0,0
1,4,2,12,20.7,0,0,183,69,18,0,61,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,4,54,0.8,2,2,420,134,708,0,0,1
1,1,1,29,7,0,0,420,134,0,0,0,1
1,4,2,11,11.7,0,0,183,69,18,0,0,0
1,4,2,12,32.1,0,0,183,69,18,0,61,1
0,1,1,19,6.4,0,0,268,153,77,0,0,1
1,4,1,10,14.2,0,0,72,134,112,0,0,1
1,4,2,13,2,0,0,183,69,31,0,22,1
1,4,2,11,10.2,0,0,183,69,18,0,0,0
1,3,3,30,1.3,0,0,420,134,330,0,0,1
1,10,2,25,8.7,0,0,59,88,18,0,0,1
0,4,2,12,1,0,0,183,69,18,0,61,1
1,4,2,11,9.5,0,0,183,69,18,0,0,0
1,4,2,11,7.5,0,0,95,69,18,0,0,0
1,10,2,26,32.5,0,0,73,88,2363,0,0,1
0,3,3,33,6.5,2,2,321,134,906,0,0,1
1,4,2,11,15.2,0,0,82,69,18,0,0,0
1,4,2,11,28.1,0,0,183,69,18,0,0,0
1,4,2,11,13.6,0,0,60,69,18,0,0,0
0,4,2,12,13,0,0,183,69,18,0,61,1
1,1,1,7,10.1,0,0,420,134,53,0,0,0
1,3,3,88,40.7,2,2,321,134,1730,0,0,0
1,10,2,25,3.8,0,0,69,88,18,0,0,1
0,4,4,38,6.6,2,2,183,69,6916,17,43,1
1,4,2,11,11.9,0,0,54,69,18,0,0,0
0,4,2,12,5.7,0,0,183,69,18,0,61,1
1,4,2,11,10.9,0,0,183,69,18,0,0,0
1,1,1,7,17.3,0,0,157,134,53,0,0,0
0,1,1,19,5,0,0,214,153,77,0,0,1
1,3,3,42,11,2,2,420,134,922,0,0,0
1,4,2,12,6.3,0,0,104,69,18,0,17,0
1,6,1,16,6.5,0,0,53,153,18,0,0,1
1,4,2,11,21,0,0,88,69,18,0,0,0
1,1,1,6,7.9,0,0,133,134,0,0,0,1
1,10,2,25,17.6,0,0,48,88,18,0,0,1
1,4,1,10,6.7,0,0,65,134,62,0,0,1
1,4,2,11,14.1,0,0,84,69,18,0,0,0
1,4,2,11,17,0,0,86,69,18,0,0,0
1,10,2,25,9.3,0,0,63,88,18,0,0,1
1,4,2,12,23,0,0,87,69,18,0,52,0
1,4,1,10,3.4,0,0,183,134,18,0,0,0
1,4,1,10,4.9,0,0,63,134,62,0,0,1
1,4,2,11,10.8,0,0,183,69,18,0,0,0
1,2,1,8,33.4,0,0,183,69,18,0,0,0
1,4,2,12,13.8,0,0,77,69,2931,0,0,0
1,2,1,8,21.8,0,0,183,134,18,0,0,0
1,4,1,11,6.3,0,0,183,134,18,0,30,0
1,4,2,12,8,0,0,183,69,18,0,61,1
1,3,3,31,2.2,1,1,0,321,153,0,0,1
0,3,3,42,5.6,2,2,420,134,970,0,0,1
1,4,2,11,4,0,0,75,69,18,0,0,0
1,1,1,17,8,0,0,420,134,344,0,0,0
1,4,2,11,14.2,0,0,59,69,18,0,0,0
1,3,3,57,4.9,0,0,420,134,330,0,0,0
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,4,2,12,16.3,0,0,183,69,18,0,61,1
1,5,3,20,5.3,0,0,321,134,560,0,0,0
1,4,2,11,12.3,0,0,73,69,18,0,0,0
1,4,2,11,8.4,0,0,183,69,18,0,0,0
1,11,3,34,2.7,2,2,420,134,1150,0,0,1
1,1,1,8,19.9,0,0,420,134,18,0,33,0
1,4,2,12,3,0,0,183,69,18,0,62,1
1,4,2,11,9.8,0,0,83,69,18,0,0,0
1,4,2,11,21.3,0,0,183,69,18,0,0,0
0,3,3,40,4.1,2,2,420,134,894,0,0,1
1,1,1,7,14.8,0,0,145,134,53,0,0,0
1,4,2,11,19.7,0,0,103,69,18,0,0,0
1,5,3,21,16.9,0,0,321,134,48,0,9239,0
1,5,1,16,61.5,0,0,77,82,18,0,60,0
1,4,2,11,7.4,0,0,183,69,18,0,0,1
1,4,2,11,19.5,0,0,183,69,18,0,0,0
1,4,1,10,7,0,0,104,134,62,0,0,1
1,2,1,9,62.6,0,0,64,69,18,0,56,0
1,4,2,11,5.5,0,0,51,69,18,0,0,1
1,5,3,21,2.3,0,0,321,134,2931,0,0,0
1,5,3,22,6,0,0,321,134,18,0,4282,0
1,5,1,16,80.2,0,0,84,82,18,0,60,0
1,4,1,11,4.8,0,0,183,134,18,0,30,0
0,1,1,7,9.6,0,0,186,134,53,0,0,1
1,5,1,16,80.5,0,0,75,82,18,0,60,0
1,2,1,8,21.2,0,0,183,134,18,0,0,0
1,4,1,11,9.9,0,0,183,134,18,0,30,0
1,4,2,11,4.8,0,0,37,69,18,0,0,1
1,2,1,8,20.2,0,0,183,134,18,0,0,0
1,1,1,19,8.6,0,0,208,153,77,0,0,0
1,4,1,12,4.5,0,0,74,134,227,0,1675,1
1,4,2,12,16.8,0,0,183,69,18,0,61,1
0,4,2,11,3,0,0,75,69,12849,0,0,1
1,4,2,12,5.1,0,0,183,69,18,0,61,1
0,4,2,12,12.9,0,0,183,69,18,0,61,1
1,2,2,29,4.6,0,0,420,134,64,0,0,1
1,4,1,10,8.7,0,0,76,134,62,0,0,1
0,3,3,40,5.8,2,2,420,134,894,0,0,1
1,4,1,11,9.6,0,0,95,134,457,0,0,1
1,3,3,48,2.6,2,2,420,134,1038,0,0,0
1,3,3,27,0.1,1,1,0,420,134,465,0,1
0,4,2,12,1.1,0,0,183,69,18,0,61,1
0,3,3,39,8,0,0,420,134,322,0,0,1
1,4,2,12,13.8,0,0,183,69,18,0,61,1
1,5,3,21,7.3,0,0,321,134,34,0,4546,0
1,2,1,9,55.3,0,0,83,69,18,0,56,0
1,5,1,16,83,0,0,82,82,18,0,60,0
1,1,1,6,10.2,0,0,142,134,0,0,0,1
1,4,2,11,3.1,0,0,40,69,18,0,0,1
1,5,3,24,20.1,0,0,321,134,48,0,190,0
1,5,3,20,3.1,0,0,321,134,560,0,0,0
1,5,3,17,22.8,1,1,0,420,134,5023,0,1
1,1,1,6,13.3,0,0,142,134,0,0,0,0
1,1,1,7,5.3,0,0,217,134,53,0,0,1
1,3,3,30,9.1,0,0,321,153,330,0,0,0
1,5,1,16,81.6,0,0,81,82,18,0,60,0
1,4,2,11,30.6,0,0,183,69,18,0,0,0
1,1,1,7,7.9,0,0,197,134,53,0,0,0
1,1,1,7,4.9,0,0,223,134,53,0,0,0
1,4,1,10,31,0,0,69,134,18,0,0,1
1,4,1,10,11.8,0,0,76,134,62,0,0,1
0,4,2,21,4.9,0,0,183,69,479,0,559,1
1,4,2,11,11.3,0,0,183,69,18,0,0,0
1,1,1,19,4.6,0,0,257,153,77,0,0,0
1,3,3,36,3.3,0,0,420,134,330,0,0,0
1,1,1,7,125.4,1,1,0,94,134,216,0,1
1,1,1,7,6.6,1,1,0,420,134,216,0,1
1,3,3,17,3,0,0,420,134,0,0,0,1
1,1,1,7,7.9,0,0,173,134,53,0,0,0
1,1,1,6,5.1,0,0,185,134,0,0,0,1
0,3,3,41,4.8,0,0,420,134,438,0,0,1
0,4,2,12,10.9,0,0,183,69,18,0,61,1
1,4,2,11,9.4,0,0,183,69,18,0,0,0
1,4,2,11,6.3,0,0,183,69,18,0,0,0
0,3,3,41,5.7,2,2,420,134,890,0,0,1
1,2,2,35,8.3,0,0,420,134,1625,0,0,1
1,2,2,22,1.8,0,0,420,134,560,0,56,0
1,3,3,30,7.1,0,0,321,153,330,0,0,0
0,4,2,12,14.4,0,0,183,69,18,0,61,1
1,3,3,30,3.8,2,2,420,134,806,0,0,0
1,4,2,12,12.4,0,0,80,69,2931,0,0,0
0,1,1,8,34.5,0,0,420,134,18,0,33,1
1,4,2,12,10.3,0,0,183,69,18,0,61,0
1,4,2,11,2.1,0,0,63,69,18,0,0,1
1,1,1,7,5.8,0,0,173,134,53,0,0,0
1,1,1,7,6.4,0,0,178,134,53,0,0,0
1,4,2,12,16.9,0,0,183,69,18,0,61,1
1,5,1,16,65.2,0,0,77,82,18,0,60,0
1,4,1,11,6.5,0,0,183,134,18,0,30,0
1,2,2,75,6.1,0,0,420,134,76,0,0,0
1,5,3,21,15.2,0,0,321,134,48,0,9195,0
1,5,3,19,14.2,1,1,0,420,134,890,0,1
1,1,1,7,16.2,0,0,166,134,53,0,0,0
1,3,3,41,3.7,0,0,321,134,346,0,0,0
1,4,2,12,26.3,0,0,98,69,18,0,52,0
0,4,2,12,14.7,0,0,183,69,18,0,61,1
1,2,2,47,27.3,0,0,321,134,64,0,57,0
1,4,2,12,7.9,0,0,183,69,18,0,61,1
1,1,1,7,3.6,0,0,229,134,53,0,0,0
1,4,2,11,19.3,0,0,183,69,18,0,0,1
0,4,2,12,12.5,0,0,183,69,18,0,61,1
1,1,1,8,10.6,0,0,420,134,18,0,48,0
1,4,1,11,3.5,0,0,183,134,18,0,30,0
1,9,5,35,7,2,2,420,134,716,0,1358,1
1,1,1,7,3.7,0,0,232,134,53,0,0,0
1,4,2,11,12.8,0,0,183,69,18,0,0,0
1,4,2,11,14.7,0,0,72,69,18,0,0,0
1,2,1,8,22.1,0,0,183,134,18,0,0,0
1,1,1,12,17.8,0,0,178,153,53,0,0,0
1,1,1,8,18.4,0,0,420,134,18,0,4,0
0,4,2,12,2.3,0,0,183,69,18,0,62,1
0,4,2,12,1.1,0,0,183,69,18,0,61,1
1,4,2,11,10.9,0,0,80,69,18,0,0,0
1,4,2,11,14.9,0,0,183,69,18,0,0,0
1,4,1,11,6.3,0,0,183,134,18,0,30,0
1,4,2,12,11.5,0,0,77,69,2931,0,0,0
1,4,2,11,24.5,0,0,93,69,18,0,0,0
1,3,3,64,2.8,2,2,420,134,1038,0,0,0
1,1,1,7,10.1,0,0,152,134,53,0,0,0
1,4,2,11,8.1,0,0,72,69,18,0,0,0
1,1,1,7,8.3,0,0,191,134,53,0,0,0
1,4,2,11,12.1,0,0,91,69,18,0,0,0
1,4,2,11,4.1,0,0,61,69,18,0,0,0
1,5,1,16,83.1,0,0,77,82,18,0,60,0
1,3,3,34,4.9,0,0,420,134,0,0,0,1
1,2,1,8,16.6,0,0,65,69,18,0,0,0
1,4,2,11,11,0,0,89,69,18,0,0,0
1,4,2,12,4.2,0,0,112,69,18,0,155,0
1,1,1,8,13.8,0,0,420,134,18,0,33,0
1,2,2,67,25.8,0,0,321,134,560,0,56,0
0,1,1,6,8,0,0,203,134,0,0,0,1
1,3,3,27,1,1,1,0,420,134,465,0,1
1,10,2,26,22,0,0,72,75,18,0,0,1
1,1,1,7,1.9,0,0,420,134,12879,0,0,1
1,4,1,11,5.2,0,0,183,134,18,0,30,0
1,4,2,11,28.2,0,0,183,69,18,0,0,0
1,1,1,9,11.6,0,0,420,134,18,0,33,0
1,5,1,16,55,0,0,77,82,18,0,60,0
1,9,5,35,7,2,2,420,134,716,0,1358,1
1,5,3,21,11.8,0,0,321,134,48,0,9239,0
1,4,2,11,10.1,0,0,183,69,18,0,0,0
1,4,2,11,7.8,0,0,77,69,18,0,0,1
1,2,1,8,4.6,0,0,69,69,18,0,0,0
1,2,2,12,10.7,2,2,420,199,0,0,0,0
1,4,2,11,17.5,0,0,53,69,18,0,0,0
1,4,2,12,6.5,0,0,108,69,18,0,17,0
0,4,2,12,15.8,0,0,183,69,18,0,61,1
1,1,1,7,3.9,0,0,192,134,53,0,0,0
1,4,2,11,10.7,0,0,83,69,18,0,0,0
1,2,1,8,20.2,0,0,183,134,18,0,0,0
0,4,2,11,9.9,0,0,183,69,18,0,0,1
1,4,2,12,3,0,0,183,69,18,0,62,1
1,1,1,7,9.5,0,0,176,134,53,0,0,0
1,4,1,10,2.7,0,0,59,134,232,0,0,1
1,11,2,27,15.5,0,0,63,88,18,0,548,1
1,4,2,11,4,0,0,77,69,18,0,0,1
1,4,2,11,17.8,0,0,70,69,18,0,0,0
1,4,2,11,2.7,0,0,86,69,18,0,0,0
1,4,1,11,7,0,0,183,134,18,0,30,0
1,4,2,11,32.4,0,0,97,69,18,0,0,0
0,10,8,1245,1.6,0,0,183,535,136113,726,16146,1
0,1,1,7,7.1,0,0,144,134,53,0,0,1
0,5,3,18,7.7,2,2,420,134,880,0,0,1
1,2,1,8,19.3,0,0,183,134,18,0,0,0
1,1,1,7,8,0,0,420,134,53,0,0,1
1,4,1,11,6.1,0,0,183,134,18,0,30,0
1,4,2,12,6.3,0,0,106,69,18,0,17,0
1,4,1,11,8.9,0,0,183,134,18,0,30,0
1,3,3,32,2.4,2,2,420,134,922,0,0,0
1,1,1,8,34,0,0,420,134,18,0,4,0
1,4,2,11,12.6,0,0,183,69,18,0,0,0
1,2,2,24,9.5,0,0,420,134,428,0,56,0
1,4,2,11,21.6,0,0,183,69,18,0,0,1
1,1,1,19,8,0,0,218,153,77,0,0,0
1,3,3,31,10.3,2,2,321,153,830,0,0,0
1,4,1,11,8.4,0,0,183,134,18,0,30,0
1,1,1,7,7.8,0,0,190,134,53,0,0,0
1,1,1,7,3.8,1,1,0,157,134,216,0,1
1,1,1,7,5.2,0,0,203,134,53,0,0,0
1,2,2,31,11.4,0,0,321,134,560,0,0,0
1,4,2,11,15.7,0,0,183,69,18,0,0,0
1,2,2,12,10.6,2,2,420,199,0,0,0,0
0,4,2,11,7,2,2,183,69,2348,0,0,1
1,5,1,16,86.4,0,0,73,82,18,0,60,0
1,4,1,11,9.8,0,0,183,134,18,0,30,0
1,1,1,36,5.1,0,0,213,134,422,0,56,0
1,3,3,32,19.9,1,1,0,321,134,1125,0,1
1,5,3,21,27,0,0,321,134,48,0,9195,0
1,10,2,25,28.2,0,0,49,88,718,0,0,1
1,4,2,11,1.2,0,0,50,69,18,0,0,1
1,4,2,11,13,0,0,66,69,18,0,0,0
0,4,2,11,12.2,0,0,183,69,18,0,0,1
0,0,0,2,297.6,0,0,0,0,0,0,0,1
1,4,2,13,13.8,0,0,80,69,2931,0,0,0
1,4,2,11,12.5,0,0,53,69,18,0,0,0
1,5,3,18,23,1,1,0,420,134,1884,0,1
1,4,2,11,6,0,0,81,69,18,0,0,1
1,4,2,11,8.9,0,0,71,69,18,0,0,1
0,1,1,19,15.1,0,0,188,153,77,0,0,1
1,4,2,12,14.7,0,0,183,69,18,0,61,1
1,2,2,48,3.4,0,0,321,134,662,0,0,0
1,4,2,11,15.6,0,0,183,69,18,0,0,1
1,4,2,12,4.8,0,0,183,69,18,0,62,1
1,4,2,13,2.1,0,0,183,69,31,0,22,1
1,4,2,11,15.8,0,0,183,69,18,0,0,0
1,1,1,7,17.5,0,0,178,134,53,0,0,0
1,4,2,11,11.4,0,0,183,69,18,0,0,0
1,5,3,22,8.2,0,0,321,134,18,0,3613,0
1,4,2,11,11.4,0,0,55,69,18,0,0,0
1,4,2,11,22.1,0,0,68,69,18,0,0,0
1,4,2,11,10.2,0,0,81,69,18,0,0,0
1,4,1,11,5.1,0,0,183,134,18,0,30,0
1,1,1,19,6.1,0,0,420,134,476,0,0,0
1,4,2,11,17.7,0,0,73,69,18,0,0,0
1,4,2,11,20.9,0,0,80,69,18,0,0,1
0,4,2,12,11.4,0,0,183,69,18,0,61,1
1,1,1,7,9.6,0,0,172,134,53,0,0,0
1,2,1,8,27.6,0,0,183,134,18,0,0,0
1,4,2,12,7.3,0,0,100,69,18,0,37,1
1,2,1,8,25.8,0,0,183,69,18,0,0,0
1,1,1,19,6.2,0,0,270,153,77,0,0,0
1,2,2,31,8.3,0,0,420,134,560,0,56,0
1,4,2,12,14,0,0,183,69,18,0,61,1
0,4,2,12,10,0,0,183,69,18,0,61,1
1,4,1,11,9.6,0,0,183,134,18,0,30,0
0,1,1,6,20.5,0,0,181,134,0,0,0,1
1,4,2,11,8.2,0,0,91,69,44,0,0,1
1,4,1,10,3.3,0,0,183,134,18,0,0,0
1,2,1,8,23.9,0,0,183,134,18,0,0,0
1,4,1,11,2.8,0,0,183,134,18,0,30,0
1,2,1,8,16.5,0,0,183,134,18,0,0,0
1,9,3,36,1.5,0,0,321,153,330,0,0,1
1,4,2,11,10.2,0,0,53,69,18,0,0,0
1,4,2,11,20,0,0,183,69,18,0,0,0
1,4,2,11,13,0,0,53,69,18,0,0,0
1,4,2,11,4,0,0,67,69,18,0,0,0
1,4,2,12,23.6,0,0,67,69,18,0,520,1
1,1,1,7,11,0,0,183,134,53,0,0,0
1,4,2,11,7.4,0,0,79,69,18,0,0,0
0,1,1,6,8.9,0,0,194,134,0,0,0,1
1,4,2,11,15.1,0,0,183,69,18,0,0,0
1,3,3,37,7.7,0,0,321,134,710,0,0,0
1,3,3,38,2.8,0,0,420,134,0,0,0,1
1,4,2,12,24.4,0,0,183,69,18,0,61,1
1,4,2,11,25.3,0,0,183,69,18,0,0,0
1,2,2,23,13.8,0,0,321,153,260,0,76,0
1,1,1,19,10.4,0,0,224,153,77,0,0,0
0,3,3,41,5.8,2,2,420,134,894,0,0,1
1,3,3,28,0.3,0,0,420,134,330,0,0,1
1,12,4,47,6.8,0,0,321,134,374,0,0,1
1,5,3,24,20.1,0,0,321,134,48,0,190,0
1,4,2,12,14.7,0,0,183,69,18,0,62,1
1,10,2,25,10.8,0,0,79,88,154,0,0,1
1,2,2,64,3.2,0,0,420,134,1038,0,0,0
1,4,1,11,4.8,0,0,183,134,18,0,30,0
1,2,1,8,23.5,0,0,183,69,18,0,0,0
1,1,1,9,13.9,0,0,420,134,18,0,33,0
1,4,2,12,14.6,0,0,90,69,18,0,40,0
1,4,2,11,22.4,0,0,183,69,18,0,0,0
1,2,2,38,6.2,0,0,420,134,428,0,56,0
1,4,1,10,16.7,0,0,98,134,18,0,0,1
1,1,1,7,4.5,0,0,205,134,53,0,0,1
1,4,2,11,11.7,0,0,75,69,18,0,0,0
1,14,4,35,2.3,2,2,183,88,4850,0,0,1
1,10,2,24,11.9,0,0,53,88,686,0,0,1
1,3,3,41,6.7,0,0,420,134,322,0,0,0
1,4,1,11,5.2,0,0,183,134,18,0,30,0
1,4,2,11,15.2,0,0,79,69,18,0,0,0
0,7,2,41,27.2,0,0,3892,69,8147,5095,13581,1
1,1,1,7,3.8,1,1,0,180,134,216,0,1
1,2,1,8,19.1,0,0,183,134,18,0,0,0
0,4,2,12,10.6,0,0,183,69,18,0,61,1
1,4,2,11,12.2,0,0,183,69,18,0,0,0
1,2,2,29,4.7,0,0,420,134,606,0,0,0
1,1,1,9,7.9,0,0,420,134,18,0,33,0
1,1,1,7,49,0,0,155,134,53,0,0,0
1,4,1,10,8.5,0,0,91,134,62,0,0,1
1,10,2,26,31.5,0,0,42,88,18,0,61,1
1,1,1,19,10.4,0,0,223,153,93,0,0,0
1,4,2,11,13.3,0,0,51,69,18,0,0,0
1,4,2,11,15.3,0,0,183,69,18,0,0,1
0,5,3,18,22.7,2,2,420,134,2064,0,0,1
1,1,1,7,23.3,0,0,147,134,53,0,0,1
1,2,1,9,5.9,2,2,49,69,133,0,0,1
1,4,2,12,6.2,0,0,106,69,18,0,17,0
0,1,1,6,3.8,0,0,420,134,0,0,0,1
1,4,2,12,17.8,0,0,183,69,18,0,61,1
1,3,3,30,3.5,0,0,321,153,330,0,0,0
1,1,1,8,16.7,0,0,420,134,18,0,33,0
1,11,2,26,3.9,0,0,54,88,176,0,0,1
1,2,2,27,14.2,0,0,420,134,484,0,0,0
1,3,3,57,4.9,0,0,420,134,330,0,0,0
1,4,2,12,13.2,0,0,83,69,2931,0,0,0
1,4,1,11,8.8,0,0,183,134,18,0,30,0
0,4,2,12,13.9,0,0,183,69,18,0,61,1
1,5,1,16,81.9,0,0,80,82,18,0,60,0
1,4,2,12,4.8,0,0,183,69,18,0,62,1
1,4,2,11,19.6,0,0,96,69,18,0,0,0
1,5,3,21,3,0,0,321,134,2931,0,0,0
1,4,2,11,5.4,0,0,109,69,148,0,0,1
1,4,1,11,6.9,0,0,183,134,18,0,30,0
1,5,1,16,59,0,0,78,82,18,0,60,0
1,4,1,10,6.8,0,0,82,134,62,0,0,1
1,4,1,11,5.4,0,0,183,134,18,0,30,0
1,4,2,11,6.3,0,0,98,69,18,0,0,0
1,4,2,11,19.4,0,0,72,69,18,0,0,0
1,5,3,23,24.8,0,0,321,134,48,0,2202,0
1,2,2,82,19.7,0,0,420,134,396,0,57,0
1,10,2,26,10.2,2,2,72,88,939,0,0,1
1,1,1,17,11.6,0,0,420,134,344,0,0,0
